firm_year,ticker,company_name,sector,year,has_1c,total_keyword_hits,balance_score,balance_sufficient,primary_function,w_GV,w_ID,w_PR,w_DE,w_RS,w_RC,k_GV,k_ID,k_PR,k_DE,k_RS,k_RC
"Modular Medical, Inc. (2022)",MODD,"Modular Medical, Inc.",Healthcare,2022,False,194,0.4767,False,GV,0.8505,0.0928,0.0103,0.0155,0.0309,0.0,165,18,2,3,6,0
"Modular Medical, Inc. (2023)",MODD,"Modular Medical, Inc.",Healthcare,2023,False,189,0.4762,False,GV,0.8519,0.0899,0.0106,0.0159,0.0317,0.0,161,17,2,3,6,0
"Modular Medical, Inc. (2024)",MODD,"Modular Medical, Inc.",Healthcare,2024,True,262,0.5013,False,GV,0.8053,0.1069,0.0153,0.0115,0.0534,0.0076,211,28,4,3,14,2
"Modular Medical, Inc. (2025)",MODD,"Modular Medical, Inc.",Healthcare,2025,True,310,0.5007,False,GV,0.8065,0.1097,0.0194,0.0129,0.0419,0.0097,250,34,6,4,13,3
"MOLINA HEALTHCARE, INC. (2022)",MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2022,False,153,0.5134,False,GV,0.7843,0.098,0.085,0.0065,0.0131,0.0131,120,15,13,1,2,2
"MOLINA HEALTHCARE, INC. (2023)",MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2023,True,314,0.5037,False,GV,0.8025,0.0892,0.0637,0.0127,0.0255,0.0064,252,28,20,4,8,2
"MOLINA HEALTHCARE, INC. (2024)",MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2024,True,320,0.5051,False,GV,0.8,0.0906,0.0656,0.0125,0.025,0.0063,256,29,21,4,8,2
"MOLINA HEALTHCARE, INC. (2025)",MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2025,True,388,0.5275,False,GV,0.7603,0.1263,0.0567,0.0129,0.0387,0.0052,295,49,22,5,15,2
"Viking Therapeutics, Inc. (2022)",VKTX,"Viking Therapeutics, Inc.",Healthcare,2022,False,528,0.5162,False,GV,0.7708,0.1742,0.0265,0.0057,0.0152,0.0076,407,92,14,3,8,4
"Viking Therapeutics, Inc. (2023)",VKTX,"Viking Therapeutics, Inc.",Healthcare,2023,True,601,0.5207,False,GV,0.7671,0.1564,0.025,0.0067,0.03,0.015,461,94,15,4,18,9
"Viking Therapeutics, Inc. (2024)",VKTX,"Viking Therapeutics, Inc.",Healthcare,2024,True,646,0.5276,False,GV,0.7554,0.161,0.0294,0.0062,0.0341,0.0139,488,104,19,4,22,9
"Viking Therapeutics, Inc. (2025)",VKTX,"Viking Therapeutics, Inc.",Healthcare,2025,True,710,0.526,False,GV,0.7592,0.1521,0.0296,0.0042,0.0423,0.0127,539,108,21,3,30,9
AMAZON COM INC (2022),AMZN,AMAZON COM INC,Retail & E-Commerce,2022,False,131,0.5864,False,GV,0.6565,0.1298,0.1908,0.0,0.0,0.0229,86,17,25,0,0,3
AMAZON COM INC (2023),AMZN,AMAZON COM INC,Retail & E-Commerce,2023,True,184,0.5914,False,GV,0.6522,0.1196,0.1902,0.0,0.0217,0.0163,120,22,35,0,4,3
AMAZON COM INC (2024),AMZN,AMAZON COM INC,Retail & E-Commerce,2024,True,185,0.5902,False,GV,0.6541,0.1189,0.1892,0.0,0.0216,0.0162,121,22,35,0,4,3
AMAZON COM INC (2025),AMZN,AMAZON COM INC,Retail & E-Commerce,2025,True,191,0.5834,False,GV,0.6649,0.1152,0.1832,0.0,0.0209,0.0157,127,22,35,0,4,3
"Boot Barn Holdings, Inc. (2022)",BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2022,False,164,0.5393,False,GV,0.7317,0.1707,0.0915,0.0,0.0,0.0061,120,28,15,0,0,1
"Boot Barn Holdings, Inc. (2023)",BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2023,False,164,0.5393,False,GV,0.7317,0.1707,0.0915,0.0,0.0,0.0061,120,28,15,0,0,1
"Boot Barn Holdings, Inc. (2024)",BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2024,True,217,0.5502,False,GV,0.7189,0.1521,0.1014,0.0046,0.0184,0.0046,156,33,22,1,4,1
"Boot Barn Holdings, Inc. (2025)",BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2025,True,233,0.5415,False,GV,0.7339,0.1459,0.0901,0.0086,0.0172,0.0043,171,34,21,2,4,1
ETSY INC (2022),ETSY,ETSY INC,Retail & E-Commerce,2022,False,564,0.5344,False,GV,0.7376,0.1933,0.0443,0.0,0.0089,0.016,416,109,25,0,5,9
ETSY INC (2023),ETSY,ETSY INC,Retail & E-Commerce,2023,True,674,0.5315,False,GV,0.7478,0.1677,0.043,0.0045,0.0252,0.0119,504,113,29,3,17,8
ETSY INC (2024),ETSY,ETSY INC,Retail & E-Commerce,2024,True,594,0.5273,False,GV,0.7576,0.1498,0.0455,0.0051,0.0286,0.0135,450,89,27,3,17,8
ETSY INC (2025),ETSY,ETSY INC,Retail & E-Commerce,2025,True,564,0.5411,False,GV,0.734,0.1631,0.0514,0.0124,0.0319,0.0071,414,92,29,7,18,4
"Stitch Fix, Inc. (2022)",SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2022,False,181,0.5462,False,GV,0.7182,0.1934,0.0718,0.0055,0.0,0.011,130,35,13,1,0,2
"Stitch Fix, Inc. (2023)",SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2023,False,207,0.5538,False,GV,0.7053,0.2029,0.0676,0.0048,0.0097,0.0097,146,42,14,1,2,2
"Stitch Fix, Inc. (2024)",SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2024,True,253,0.5287,False,GV,0.7549,0.1462,0.0672,0.004,0.0198,0.0079,191,37,17,1,5,2
"Stitch Fix, Inc. (2025)",SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2025,True,280,0.5273,False,GV,0.7571,0.15,0.0571,0.0143,0.0143,0.0071,212,42,16,4,4,2
"UPWORK, INC (2022)",UPWK,"UPWORK, INC",Retail & E-Commerce,2022,False,362,0.5785,False,GV,0.6685,0.2155,0.058,0.0083,0.0193,0.0304,242,78,21,3,7,11
"UPWORK, INC (2023)",UPWK,"UPWORK, INC",Retail & E-Commerce,2023,True,435,0.5507,False,GV,0.7218,0.1517,0.0644,0.0276,0.023,0.0115,314,66,28,12,10,5
"UPWORK, INC (2024)",UPWK,"UPWORK, INC",Retail & E-Commerce,2024,True,394,0.5591,False,GV,0.7107,0.1371,0.0888,0.0305,0.0203,0.0127,280,54,35,12,8,5
"UPWORK, INC (2025)",UPWK,"UPWORK, INC",Retail & E-Commerce,2025,True,413,0.5609,False,GV,0.707,0.1404,0.0944,0.0218,0.0242,0.0121,292,58,39,9,10,5
ADVANCED MICRO DEVICES INC (2022),AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2022,False,228,0.6214,True,GV,0.5746,0.3114,0.0439,0.0482,0.0132,0.0088,131,71,10,11,3,2
ADVANCED MICRO DEVICES INC (2023),AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2023,True,358,0.5848,False,GV,0.6564,0.2291,0.0335,0.0363,0.0391,0.0056,235,82,12,13,14,2
ADVANCED MICRO DEVICES INC (2024),AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2024,True,361,0.5838,False,GV,0.6565,0.2327,0.036,0.0332,0.0388,0.0028,237,84,13,12,14,1
ADVANCED MICRO DEVICES INC (2025),AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2025,True,384,0.5764,False,GV,0.6693,0.224,0.0391,0.0312,0.0312,0.0052,257,86,15,12,12,2
"CIRRUS LOGIC, INC. (2022)",CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2022,False,124,0.5913,False,GV,0.6048,0.3306,0.0161,0.0,0.0161,0.0323,75,41,2,0,2,4
"CIRRUS LOGIC, INC. (2023)",CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2023,False,139,0.5813,False,GV,0.6259,0.3165,0.0144,0.0,0.0144,0.0288,87,44,2,0,2,4
"CIRRUS LOGIC, INC. (2024)",CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2024,True,187,0.5612,False,GV,0.6738,0.2727,0.0107,0.0107,0.0107,0.0214,126,51,2,2,2,4
"CIRRUS LOGIC, INC. (2025)",CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2025,True,224,0.5808,False,GV,0.6518,0.2589,0.0179,0.0134,0.0268,0.0312,146,58,4,3,6,7
INTEL CORP (2022),INTC,INTEL CORP,Semiconductors,2022,False,177,0.5167,False,GV,0.774,0.1525,0.0395,0.0056,0.0113,0.0169,137,27,7,1,2,3
INTEL CORP (2023),INTC,INTEL CORP,Semiconductors,2023,False,181,0.5287,False,GV,0.7514,0.1713,0.0442,0.0055,0.011,0.0166,136,31,8,1,2,3
INTEL CORP (2024),INTC,INTEL CORP,Semiconductors,2024,False,167,0.5275,False,GV,0.7485,0.1916,0.0419,0.0,0.018,0.0,125,32,7,0,3,0
INTEL CORP (2025),INTC,INTEL CORP,Semiconductors,2025,False,165,0.5244,False,GV,0.7576,0.1697,0.0545,0.0,0.0182,0.0,125,28,9,0,3,0
"MAXLINEAR, INC (2022)",MXL,"MAXLINEAR, INC",Semiconductors,2022,False,361,0.5289,False,GV,0.7507,0.1717,0.0499,0.0139,0.0139,0.0,271,62,18,5,5,0
"MAXLINEAR, INC (2023)",MXL,"MAXLINEAR, INC",Semiconductors,2023,True,448,0.5278,False,GV,0.7522,0.1719,0.0513,0.0156,0.0089,0.0,337,77,23,7,4,0
"MAXLINEAR, INC (2024)",MXL,"MAXLINEAR, INC",Semiconductors,2024,True,496,0.5601,False,GV,0.6976,0.2016,0.0585,0.0181,0.0161,0.0081,346,100,29,9,8,4
"MAXLINEAR, INC (2025)",MXL,"MAXLINEAR, INC",Semiconductors,2025,True,479,0.5563,False,GV,0.7015,0.2067,0.0564,0.0209,0.0146,0.0,336,99,27,10,7,0
NVE CORP /NEW/ (2022),NVEC,NVE CORP /NEW/,Semiconductors,2022,False,0,0.0,False,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
NVE CORP /NEW/ (2023),NVEC,NVE CORP /NEW/,Semiconductors,2023,False,48,0.5512,False,GV,0.7083,0.2083,0.0417,0.0,0.0,0.0417,34,10,2,0,0,2
NVE CORP /NEW/ (2024),NVEC,NVE CORP /NEW/,Semiconductors,2024,False,0,0.0,False,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
NVE CORP /NEW/ (2025),NVEC,NVE CORP /NEW/,Semiconductors,2025,False,0,0.0,False,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
POWER INTEGRATIONS INC (2022),POWI,POWER INTEGRATIONS INC,Semiconductors,2022,False,57,0.5593,False,GV,0.6491,0.3333,0.0175,0.0,0.0,0.0,37,19,1,0,0,0
POWER INTEGRATIONS INC (2023),POWI,POWER INTEGRATIONS INC,Semiconductors,2023,True,171,0.5558,False,GV,0.7135,0.1579,0.0058,0.0234,0.0585,0.0409,122,27,1,4,10,7
